Id,OptionType,Strike,Spot,TimeToExpiry,RiskfreeRate,MarketFearIndex,BuySellRatio,OptionPrice
1,Put,120,148.5581572,0.944953829,2.7206587,71.28559419,0.487120444,2.877918997
2,Put,80,118.1585696,1.723778714,4.8731761,64.52490389,3.444798191,11.62647615
3,Call,90,108.0901562,0.4116239,5.0820022,76.61903413,3.750903084,27.08820839
4,Put,90,111.6022397,1.951200933,5.9239714,95.87198736,0.31924496,4.629990703
5,Put,150,56.34324161,0.878590044,3.3078631,46.75839691,1.031901953,90.97403514
6,Put,140,110.0329805,1.265485829,5.9961969,14.12828751,3.149396176,30.60007312
7,Call,50,87.75806213,0.488772223,2.8970397,37.53413017,2.326228574,37.26558517
8,Put,80,149.1323637,1.282497848,2.10711,74.33590066,3.377868499,6.106725731
9,Put,150,52.21814345,0.782341273,2.2230889,26.86282307,2.404572558,96.09592967
10,Put,140,141.14733,0.369540742,5.1535198,46.82595114,1.879150019,9.431290408
11,Call,60,104.2529258,1.044377321,3.6934417,20.89036399,2.322794338,42.73001216
12,Call,50,140.5192264,0.758334484,5.3176202,26.09180413,1.207255964,86.94162594
13,Call,110,119.9868326,0.816609653,3.6059147,14.96767535,0.937312197,12.05915455
14,Put,120,95.94410905,1.379792501,3.0710505,19.52562181,1.805244949,26.27884023
15,Call,80,103.4413575,0.283462113,3.0563411,43.06724871,0.367214072,23.24053521
16,Put,60,103.4312506,1.904270506,5.9652029,31.05352411,0.339049804,0.000168856
17,Put,150,126.5340047,0.885908689,4.3534751,81.65611492,1.402816444,34.49316517
18,Put,50,101.7467107,0.949566167,2.8459195,5.470039726,1.606462015,0.00000166
19,Call,100,100.1449698,1.178417422,2.9846546,99.85669301,2.202332307,25.32454496
20,Call,60,128.3049092,1.238902322,4.3100703,7.746318802,1.626219012,64.75326738
21,Call,50,134.8079883,1.426210749,2.0088151,44.93872543,2.308620571,82.58294368
22,Call,90,70.15341116,1.351186266,2.0491977,94.11794716,3.023112157,16.60838092
23,Put,70,61.25960804,1.091082999,2.2356677,99.46781665,3.860837889,25.27662916
24,Call,150,149.7407531,0.612562384,2.2605067,33.72602042,3.076596591,14.9392693
25,Call,90,119.6134832,0.557328924,2.7784112,87.34592368,3.099275926,38.46912837
26,Put,80,51.02552962,1.753005926,4.2406913,66.03243091,2.237956733,30.88140068
27,Call,120,98.62807609,1.108040039,5.6459136,36.7544307,3.005718123,8.792376694
28,Put,110,71.45801057,0.507371272,2.840089,73.97194392,0.92511483,38.30353362
29,Call,50,106.196542,1.813289913,5.7929953,1.447587378,0.546280109,50.59290886
30,Call,60,118.6992067,0.624478661,2.7100113,35.04827934,1.772671742,57.72026897
31,Call,110,98.59652865,0.889430876,2.1859426,7.469777453,3.650628814,4.014063314
32,Call,50,82.31057192,0.718208754,2.6153468,49.85891657,1.400984701,31.82323317
33,Call,150,61.0938084,1.273574256,5.1130183,66.67828023,2.295254159,1.1468491
34,Call,120,71.81562113,1.19711618,3.4197907,56.90706756,0.481915228,0.039546507
35,Call,130,109.1337205,1.569198697,3.6332605,2.691404581,2.429771969,2.703512576
36,Call,120,98.2967224,1.035355926,5.6233387,28.51241949,1.613077658,3.167757811
37,Call,60,90.44113259,0.259899735,3.3647518,46.78664048,2.468154406,30.30427872
38,Put,100,137.9912748,0.256813407,2.2964254,99.6673989,3.029054656,4.375456635
39,Call,140,78.20254098,0.897988608,4.1899037,47.92658252,3.660869543,2.034510269
40,Put,50,62.06932428,0.983856561,2.0523592,93.27393678,2.563878106,6.961730049
41,Put,130,137.3661611,1.77260451,4.5317561,93.33719049,1.475690211,28.64904258
42,Call,70,127.0443668,1.122308249,3.064078,66.54613808,3.200743651,57.95438015
43,Put,120,82.44193949,1.986929381,2.1980467,25.420708,3.425992265,39.9414108
44,Call,110,144.4959324,0.392991168,2.3836143,62.80724091,2.075609275,37.20521542
45,Call,150,134.3855878,1.972755733,4.2274304,36.33193857,2.609235263,16.58978592
46,Put,150,64.82269497,0.421684283,5.2248234,31.56216386,3.958644362,83.32418827
47,Call,150,70.84642992,0.878458075,5.8898453,17.25413225,1.737544467,0.000578036
48,Put,80,127.8368342,0.993053582,5.4831074,95.1818271,0.337650639,0.078078368
49,Call,100,92.99655191,1.852632149,3.066172,64.13257646,1.54487878,15.94286106
50,Call,50,62.79074405,1.79497596,3.9246707,16.38937397,1.969494265,13.64421317
51,Call,110,94.07888625,1.269205173,3.9731017,0.452520344,1.237821036,0.443632663
52,Put,140,119.3186138,0.604047181,5.9644059,71.41556855,2.620399253,32.67953036
53,Put,80,73.83291615,1.644277535,5.8676154,78.02372702,2.196122874,18.90927447
54,Call,90,82.29069316,0.663152423,5.1725159,10.199437,1.123805186,1.255159202
55,Call,80,54.04923295,0.532154443,2.6633082,21.96391922,2.406492623,0.082509724
56,Put,80,111.1419098,1.797061621,4.65593,38.27619271,0.493783256,0.341793029
57,Call,150,119.3095007,1.690589134,4.1728412,8.144933215,0.316014856,0.031072746
58,Call,60,65.24561625,0.972021556,4.7223384,29.42335773,3.411666812,11.03064294
59,Call,90,110.8765428,0.904343625,2.5956466,28.63096736,2.80488193,24.27404532
60,Call,100,121.0990034,1.985837797,4.5888314,18.10579721,3.486439932,28.40371939
61,Call,110,88.75172417,0.396349322,3.3997525,52.24789579,0.72607706,0.416858988
62,Put,100,64.34754842,0.651975554,2.7118737,7.302570166,0.427480927,35.02762932
63,Call,140,87.05258591,1.86253676,3.5957736,82.78721778,2.76592832,10.97236728
64,Call,50,58.19527949,1.773439222,2.7501545,36.72425934,2.930263255,14.48913337
65,Call,140,100.2196121,1.131405864,2.0996106,76.1624785,1.374314802,6.479885067
66,Put,140,95.81235028,1.244664296,2.4547635,79.85323062,0.832077695,45.78258097
67,Put,110,60.97055559,1.501832027,5.4502465,12.00803678,0.648735271,45.1760788
68,Put,150,107.3669371,1.234780084,4.8207191,62.22681333,0.514898493,41.33120925
69,Put,60,95.6383543,1.394937391,5.2997685,85.49717165,2.439621863,6.406604555
70,Put,50,120.7906382,0.523110245,2.6958879,9.143578763,2.773688091,0.000000003
71,Put,100,118.9864379,1.037297171,5.6141898,32.32936927,2.784335976,7.327868194
72,Call,90,121.8917151,1.23299214,3.233685,6.962568495,2.94662474,31.67528981
73,Put,110,147.0661578,1.086549938,2.4897248,19.12473162,2.37413707,2.46120846
74,Put,150,56.47307218,0.752570741,5.4837044,61.77531329,2.767042543,89.86425287
75,Call,100,141.516517,0.782519306,4.9549489,5.149369658,2.307161147,40.07648822
76,Put,90,93.41181269,1.447076626,3.5018453,55.7511083,3.292374754,16.63819869
77,Call,100,89.70850048,1.475973751,4.1329014,62.12542885,3.775969473,18.05627023
78,Call,70,70.40518081,1.631469027,2.8354853,11.82240127,3.071504595,8.169490796
79,Put,110,136.6171363,1.276021962,5.3189435,13.71402613,1.951442297,2.613952996
80,Put,100,109.9976912,1.232426851,3.0736881,3.687967692,0.41537826,0.409799964
81,Put,50,120.819439,1.81221169,2.2110915,23.12796296,1.160521772,0.001828716
82,Call,80,79.45212335,0.312069932,3.7970543,95.12479821,3.612360335,11.44350488
83,Call,70,69.9487505,1.944062422,4.5640035,87.89325406,2.342844814,19.81512219
84,Put,70,82.37514191,1.848036389,4.0648986,37.57603964,2.227335948,6.716932869
85,Put,130,98.75123875,0.666444237,5.1069163,14.48620843,0.905864676,30.23241914
86,Put,110,80.18844005,1.17315777,3.4134781,30.90749231,2.179954151,30.86070524
87,Put,130,119.738661,1.512125892,3.6190275,91.17956336,2.881970118,43.54882992
88,Call,90,97.37172035,0.844252176,3.9526112,74.42543741,0.426981519,11.29100335
89,Call,50,122.7121332,1.571737469,3.2303733,90.78194621,3.365773756,74.03890178
90,Call,130,51.91976026,0.972740899,4.5612407,74.95310436,1.091026191,0.058039811
91,Call,100,108.7411861,0.5828166,2.1138491,30.33234122,0.90375859,10.80514592
92,Call,140,94.86855488,1.40230113,4.9231392,20.10137062,3.628158297,2.466277376
93,Call,70,116.7946336,1.09887669,3.4681565,67.38226815,3.258336309,50.12484909
94,Call,70,93.17335112,1.383842418,5.379891,93.84045735,3.596183587,35.90401452
95,Put,80,111.4751423,1.405578427,3.3256865,94.55105608,2.329687188,10.81057213
96,Call,120,92.31254305,0.273330968,3.2783432,56.31574862,0.436094094,0.004629287
97,Put,130,147.8144262,0.959578616,3.8503741,77.14024878,3.478568922,25.24697682
98,Call,60,94.01505582,0.852711956,3.8206498,92.412629,0.765941281,33.43504168
99,Put,120,100.714361,0.687109169,3.9276929,21.25022677,1.63643742,20.36049003
100,Put,80,130.4641701,0.833850458,5.1375704,79.73167728,0.383660147,0.02048294
101,Call,80,114.3112679,0.743800389,2.8600579,33.28756114,3.679299325,35.65667239
102,Call,70,110.9939073,1.702766555,4.7836831,77.08528971,1.757434869,42.65807892
