state_code,state_name,district_code,district_name,total_households,total_population,total_population_male,total_population_female,total_population_SC,total_population_male_SC,total_population_female_SC,total_population_ST,total_population_male_ST,total_population_female_ST,area_hectare,govt_pre_primary_school_UKG,pvt_pre_primary_school_UKG,govt_primary_school,pvt_primary_school,govt_middle_school,pvt_middle_school,govt_secondary_school,pvt_secondary_school,govt_senior_secondary_school,pvt_senior_secondary_school,govt_art_science_degree_college,pvt_art_science_degree_college,govt_engineering_college,pvt_engineering_college,govt_medicine_college,pvt_medicine_college,govt_management_college,pvt_management_college,govt_polytechnic_college,pvt_polytechnic_college,govt_vocational_ITI_training,pvt_vocational_ITI_training,govt_non_formal_training_centre,pvt_non_formal_training_centre,govt_disabled_school,pvt_disabled_school,govt_other_education,pvt_other_education
1.0,JAMMU & KASHMIR,1.0,Kupwara,101930.0,765625.0,412038.0,353587.0,872.0,870.0,2.0,68491.0,35855.0,32636.0,61595.36999999999,0.0,408.0,892.0,96.0,642.0,68.0,83.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,JAMMU & KASHMIR,2.0,Badgam,89417.0,655833.0,343385.0,312448.0,86.0,78.0,8.0,23293.0,12025.0,11268.0,67281.01,0.0,485.0,651.0,99.0,409.0,71.0,84.0,14.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,3.0,Leh(Ladakh),14905.0,87816.0,48411.0,39405.0,108.0,89.0,19.0,73789.0,36318.0,37471.0,36988.49999999999,0.0,108.0,233.0,10.0,107.0,7.0,34.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,222.0
1.0,JAMMU & KASHMIR,4.0,Kargil,16147.0,124464.0,67703.0,56761.0,10.0,5.0,5.0,110840.0,56693.0,54147.0,18661.81,0.0,126.0,268.0,32.0,190.0,18.0,40.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,246.0
1.0,JAMMU & KASHMIR,5.0,Punch,83045.0,438205.0,229774.0,208431.0,278.0,248.0,30.0,171011.0,87542.0,83469.0,112557.0,0.0,204.0,694.0,52.0,326.0,34.0,63.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,6.0,Rajouri,122645.0,590101.0,310748.0,279353.0,46141.0,23907.0,22234.0,229692.0,119658.0,110034.0,249680.20000000016,0.0,387.0,813.0,147.0,394.0,58.0,99.0,20.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,7.0,Kathua,101651.0,526722.0,278126.0,248596.0,119693.0,63321.0,56372.0,52019.0,27022.0,24997.0,239714.0,0.0,808.0,711.0,193.0,97.0,50.0,97.0,50.0,33.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,8.0,Baramula,125346.0,825539.0,432399.0,393140.0,323.0,304.0,19.0,36169.0,19147.0,17022.0,97481.0,0.0,560.0,985.0,165.0,582.0,115.0,128.0,34.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,9.0,Bandipore,48794.0,326871.0,172263.0,154608.0,105.0,105.0,0.0,74515.0,38899.0,35616.0,29523.89999999999,0.0,171.0,343.0,35.0,219.0,22.0,40.0,3.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,10.0,Srinagar,2844.0,17313.0,8916.0,8397.0,0.0,0.0,0.0,3104.0,1637.0,1467.0,1595.4,0.0,11.0,16.0,4.0,10.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,11.0,Ganderbal,38395.0,250407.0,133715.0,116692.0,85.0,73.0,12.0,60275.0,32104.0,28171.0,23437.1,0.0,128.0,300.0,45.0,151.0,25.0,25.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,12.0,Pulwama,75587.0,479978.0,248096.0,231882.0,52.0,48.0,4.0,22189.0,11528.0,10661.0,59732.24999999999,0.0,344.0,459.0,81.0,215.0,73.0,70.0,22.0,18.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
1.0,JAMMU & KASHMIR,13.0,Shupiyan,41858.0,249855.0,127161.0,122694.0,5.0,5.0,0.0,21798.0,11296.0,10502.0,30627.759999999984,0.0,231.0,303.0,70.0,131.0,67.0,35.0,34.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,14.0,Anantnag,117648.0,795805.0,411012.0,384793.0,1383.0,1371.0,12.0,113575.0,59636.0,53939.0,67370.70000000001,0.0,390.0,606.0,104.0,545.0,98.0,82.0,22.0,26.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,15.0,Kulgam,59922.0,343870.0,175574.0,168296.0,18.0,8.0,10.0,25802.0,13520.0,12282.0,36056.73999999998,0.0,232.0,351.0,53.0,250.0,65.0,34.0,15.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,16.0,Doda,72917.0,377247.0,195430.0,181817.0,52339.0,26659.0,25680.0,38601.0,20016.0,18585.0,134384.90000000002,0.0,394.0,812.0,84.0,416.0,45.0,108.0,12.0,35.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,17.0,Ramban,53328.0,271902.0,142317.0,129585.0,13402.0,6892.0,6510.0,39583.0,20839.0,18744.0,131396.40000000002,0.0,142.0,422.0,32.0,190.0,22.0,41.0,7.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,18.0,Kishtwar,42499.0,215831.0,111986.0,103845.0,14020.0,7163.0,6857.0,38069.0,19840.0,18229.0,164365.09999999995,56.0,32.0,316.0,41.0,192.0,13.0,55.0,5.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,19.0,Udhampur,78887.0,446777.0,232974.0,213803.0,122742.0,63846.0,58896.0,53636.0,27736.0,25900.0,233802.2000000002,0.0,315.0,780.0,84.0,369.0,38.0,97.0,14.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,20.0,Reasi,51659.0,287671.0,151481.0,136190.0,33232.0,17292.0,15940.0,86608.0,45441.0,41167.0,167950.3999999999,0.0,252.0,303.0,57.0,223.0,31.0,56.0,11.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,21.0,Jammu,159291.0,764945.0,401603.0,363342.0,268098.0,140062.0,128036.0,47138.0,24647.0,22491.0,219058.10000000006,0.0,758.0,971.0,291.0,464.0,193.0,151.0,94.0,42.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,JAMMU & KASHMIR,22.0,Samba,54718.0,265283.0,139365.0,125918.0,78034.0,40635.0,37399.0,16636.0,8676.0,7960.0,86490.39999999995,0.0,322.0,329.0,114.0,156.0,66.0,52.0,40.0,19.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,HIMACHAL PRADESH,23.0,Chamba,94596.0,482972.0,241963.0,241009.0,105635.0,53144.0,52491.0,132907.0,66589.0,66318.0,690353.7800000012,98.0,73.0,1028.0,31.0,416.0,23.0,185.0,15.0,106.0,11.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0
2.0,HIMACHAL PRADESH,24.0,Kangra,318379.0,1423794.0,705365.0,718429.0,304802.0,152186.0,152616.0,80234.0,39498.0,40736.0,572977.7599999987,358.0,527.0,2211.0,237.0,1051.0,257.0,498.0,141.0,319.0,98.0,15.0,9.0,0.0,10.0,2.0,0.0,2.0,12.0,2.0,8.0,14.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0
2.0,HIMACHAL PRADESH,25.0,Lahul & Spiti,6674.0,31564.0,16588.0,14976.0,2235.0,1154.0,1081.0,25707.0,12748.0,12959.0,911196.0,26.0,9.0,219.0,4.0,122.0,1.0,57.0,3.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
